@1200	5A		
SIM_2_66	AZP-TABU	14:39.2	
SIM_2_66	AZP	01:01.9	
SIM_2_66	AZP-SA	06:20.2	
SIM_2_67	ARISEL	17:10.8	
SIM_2_67	AZP-TABU	30:19.5	
SIM_2_67	AZP	02:21.9	
SIM_2_67	AZP-SA	09:00.2	
SIM_2_68	ARISEL	07:37.6	
SIM_2_68	AZP-TABU	17:05.2	
SIM_2_68	AZP	01:52.2	
SIM_2_68	AZP-SA	04:51.9	
SIM_2_69	ARISEL	10:26.6	
SIM_2_69	AZP-TABU	31:24.8	
SIM_2_69	AZP	00:25.9	
SIM_2_69	AZP-SA	03:45.4	
SIM_3_60	ARISEL	08:14.6	
SIM_3_60	AZP-TABU	14:25.5	
SIM_3_60	AZP	00:17.4	
SIM_3_60	AZP-SA	04:52.0	
SIM_3_61	ARISEL	09:42.1	
SIM_3_61	AZP-TABU	22:15.0	
SIM_3_61	AZP	00:19.9	
SIM_3_61	AZP-SA	04:54.0	
SIM_3_62	ARISEL	07:39.6	
SIM_3_62	AZP-TABU	20:21.6	
SIM_3_62	AZP	00:24.0	
SIM_3_62	AZP-SA	05:10.2	
SIM_3_63	ARISEL	07:04.5	
SIM_3_63	AZP-TABU	16:04.1	
SIM_3_63	AZP	02:31.4	
SIM_3_63	AZP-SA	03:48.9	
SIM_3_64	ARISEL	06:39.3	
SIM_3_64	AZP-TABU	17:52.3	
SIM_3_64	AZP	00:33.5	
SIM_3_64	AZP-SA	05:14.5	
SIM_3_65	ARISEL	06:22.2	
SIM_3_65	AZP-TABU	11:03.0	
SIM_3_65	AZP	00:23.0	
SIM_3_65	AZP-SA	04:39.1	
SIM_3_66	ARISEL	06:50.1	
SIM_3_66	AZP-TABU	22:25.2	
SIM_3_66	AZP	01:12.6	
SIM_3_66	AZP-SA	04:11.1	
SIM_3_67	ARISEL	12:25.8	
SIM_3_67	AZP-TABU	06:55.3	
SIM_3_67	AZP	00:33.6	
SIM_3_67	AZP-SA	05:28.0	
SIM_3_68	ARISEL	05:44.8	
SIM_3_68	AZP-TABU	30:37.2	
SIM_3_68	AZP	00:22.1	
SIM_3_68	AZP-SA	04:20.0	
SIM_3_69	ARISEL	05:46.8	
SIM_3_69	AZP-TABU	19:54.6	
SIM_3_69	AZP	00:18.1	
SIM_3_69	AZP-SA	06:27.1	
SIM_4_60	ARISEL	05:36.9	
SIM_4_60	AZP-TABU	06:19.9	
SIM_4_60	AZP	00:33.6	
SIM_4_60	AZP-SA	04:20.6	
SIM_4_61	ARISEL	05:32.1	
SIM_4_61	AZP-TABU	06:42.0	
SIM_4_61	AZP	00:18.9	
SIM_4_61	AZP-SA	05:27.7	
SIM_4_62	ARISEL	07:02.7	
SIM_4_62	AZP-TABU	09:30.9	
SIM_4_62	AZP	00:35.1	
SIM_4_62	AZP-SA	06:09.9	
SIM_4_63	ARISEL	05:40.7	
SIM_4_63	AZP-TABU	12:44.9	
SIM_4_63	AZP	00:18.1	
SIM_4_63	AZP-SA	05:13.6	
SIM_4_64	ARISEL	05:44.3	
SIM_4_64	AZP-TABU	04:25.4	
SIM_4_64	AZP	00:32.4	
SIM_4_64	AZP-SA	04:27.9	
SIM_4_65	ARISEL	08:35.8	
SIM_4_65	AZP-TABU	08:33.0	
SIM_4_65	AZP	00:17.3	
SIM_4_65	AZP-SA	03:55.3	
SIM_4_66	ARISEL	05:42.3	
SIM_4_66	AZP-TABU	04:27.5	
SIM_4_66	AZP	00:26.8	
SIM_4_66	AZP-SA	05:00.8	
SIM_4_67	ARISEL	06:06.7	
SIM_4_67	AZP-TABU	14:41.9	
SIM_4_67	AZP	00:39.2	
SIM_4_67	AZP-SA	04:52.9	
SIM_4_68	ARISEL	05:41.6	
SIM_4_68	AZP-TABU	09:48.4	
SIM_4_68	AZP	00:34.0	
SIM_4_68	AZP-SA	04:17.5	
SIM_4_69	ARISEL	07:41.2	
SIM_4_69	AZP-TABU	06:18.5	
SIM_4_69	AZP	00:20.3	
SIM_4_69	AZP-SA	04:01.1	
SIM_2_0	geoSOM	00:39.5	
SIM_2_1	geoSOM	00:38.9	
SIM_2_2	geoSOM	00:38.8	
SIM_2_3	geoSOM	00:39.0	
SIM_2_4	geoSOM	00:38.9	
SIM_2_5	geoSOM	00:39.3	
SIM_2_6	geoSOM	00:39.2	
SIM_2_7	geoSOM	00:39.0	
SIM_2_8	geoSOM	00:39.9	
SIM_2_9	geoSOM	00:38.8	
SIM_3_0	geoSOM	00:38.7	
SIM_3_1	geoSOM	00:39.0	
SIM_3_2	geoSOM	00:38.6	
SIM_3_3	geoSOM	00:38.9	
SIM_3_4	geoSOM	00:38.8	
SIM_3_5	geoSOM	00:38.7	
SIM_3_6	geoSOM	00:38.8	
SIM_3_7	geoSOM	00:39.0	
SIM_3_8	geoSOM	00:38.6	
SIM_3_9	geoSOM	00:38.9	
SIM_4_0	geoSOM	00:40.0	
