@1200	5A		
SIM_3_9	ARISEL	00:19.0	
SIM_3_9	AZP-TABU	00:28.2	
SIM_3_9	AZP	00:04.2	
SIM_3_9	AZP-SA	00:22.2	
SIM_4_0	ARISEL	00:20.8	
SIM_4_0	AZP-TABU	00:07.1	
SIM_4_0	AZP	00:04.6	
SIM_4_0	AZP-SA	00:20.9	
SIM_4_1	ARISEL	00:21.9	
SIM_4_1	AZP-TABU	00:22.3	
SIM_4_1	AZP	00:06.7	
SIM_4_1	AZP-SA	00:23.3	
SIM_4_2	ARISEL	00:23.5	
SIM_4_2	AZP-TABU	00:08.8	
SIM_4_2	AZP	00:03.1	
SIM_4_2	AZP-SA	00:25.2	
SIM_4_3	ARISEL	00:26.6	
SIM_4_3	AZP-TABU	00:26.4	
SIM_4_3	AZP	00:04.7	
SIM_4_3	AZP-SA	00:25.2	
SIM_4_4	ARISEL	00:17.5	
SIM_4_4	AZP-TABU	00:07.2	
SIM_4_4	AZP	00:04.2	
SIM_4_4	AZP-SA	00:26.4	
SIM_4_5	ARISEL	00:19.0	
SIM_4_5	AZP-TABU	00:07.8	
SIM_4_5	AZP	00:03.2	
SIM_4_5	AZP-SA	00:29.2	
SIM_4_6	ARISEL	00:25.7	
SIM_4_6	AZP-TABU	00:13.4	
SIM_4_6	AZP	00:05.7	
SIM_4_6	AZP-SA	00:20.8	
SIM_4_7	ARISEL	00:17.5	
SIM_4_7	AZP-TABU	00:27.1	
SIM_4_7	AZP	00:03.9	
SIM_4_7	AZP-SA	00:24.8	
SIM_4_8	ARISEL	00:22.4	
SIM_4_8	AZP-TABU	00:21.1	
SIM_4_8	AZP	00:03.7	
SIM_4_8	AZP-SA	00:21.1	
SIM_4_9	ARISEL	00:21.6	
SIM_4_9	AZP-TABU	00:25.8	
SIM_4_9	AZP	00:03.3	
SIM_4_9	AZP-SA	00:18.2	
SIM_2_0	geoSOM	00:09.8	
SIM_2_1	geoSOM	00:09.7	
SIM_2_2	geoSOM	00:09.8	
SIM_2_3	geoSOM	00:09.9	
SIM_2_4	geoSOM	00:09.7	
SIM_2_5	geoSOM	00:09.8	
SIM_2_6	geoSOM	00:09.8	
SIM_2_7	geoSOM	00:09.8	
SIM_2_8	geoSOM	00:09.8	
SIM_2_9	geoSOM	00:09.8	
SIM_3_0	geoSOM	00:09.9	
SIM_3_1	geoSOM	00:09.8	
SIM_3_2	geoSOM	00:09.8	
SIM_3_3	geoSOM	00:09.7	
SIM_3_4	geoSOM	00:09.8	
SIM_3_5	geoSOM	00:09.7	
SIM_3_6	geoSOM	00:09.8	
SIM_3_7	geoSOM	00:09.8	
SIM_3_8	geoSOM	00:09.8	
SIM_3_9	geoSOM	00:09.7	
SIM_4_0	geoSOM	00:09.7	
SIM_4_1	geoSOM	00:09.8	
SIM_4_2	geoSOM	00:09.7	
SIM_4_3	geoSOM	00:09.7	
SIM_4_4	geoSOM	00:09.9	
SIM_4_5	geoSOM	00:09.7	
SIM_4_6	geoSOM	00:09.7	
SIM_4_7	geoSOM	00:09.6	
SIM_4_8	geoSOM	00:09.6	
SIM_4_9	geoSOM	00:09.6	
